created_at,user.screen_name,user.name,favorite_count,retweet_count,legislator_state,keyword,label_drew,label_taegyoon,label_final,agreement
Sun Oct 11 15:17:53 +0000 2020,AnnaForFlorida,Rep. Anna V. Eskamani 🔨,0,3,Florida,needed,0,0,0,1
Sun Apr 30 16:56:39 +0000 2017,RepJerryHertaus,Rep. Jerry Hertaus,1,2,Minnesota,needed,1,1,1,1
Tue Mar 31 19:32:40 +0000 2020,karlabigham,Sen. Karla Bigham,9,1,Minnesota,needed,0,0,0,1
Fri May 29 02:34:07 +0000 2015,RepStanley,Tom Stanley,0,2,Massachusetts,needed,0,0,0,1
Sat Jun 01 15:56:28 +0000 2019,KrizekForVA,Paul Krizek,2,0,Virginia,needed,0,0,0,1
Thu Jul 23 00:54:01 +0000 2020,wardports,Gerald W.R. Ward,0,5,New_Hampshire,needed,0,0,0,1
Fri Nov 20 22:20:23 +0000 2020,SenErikaGeiss,State Senator Erika Geiss (SD06),7,4,Michigan,needed,0,0,0,1
Tue Jun 27 14:53:27 +0000 2017,zellnor,Zellnor Y. Myrie,4,2,New_York,needed,0,0,0,1
Tue Apr 21 03:45:23 +0000 2020,rob_bryan,Rob Bryan,0,5,North_Carolina,needed,0,0,0,1
Thu May 07 15:06:45 +0000 2020,shedop,Dollyne Sherman,0,6873,Indiana,needed,0,0,0,1
Wed Jul 03 15:30:01 +0000 2019,CunninghamNCRep,Carla Cunningham,0,2,North_Carolina,advocates,0,0,0,1
Wed Jan 23 21:09:37 +0000 2019,TimTKacena,Rep. Tim Kacena,6,0,Iowa,advocates,0,0,0,1
Tue Nov 19 03:59:30 +0000 2019,Reuvencarlyle,Sen. Reuven Carlyle,6,0,Washington,advocates,0,0,0,1
Thu Aug 29 02:42:26 +0000 2019,CnDelarosa,Carmen De La Rosa,20,5,New_York,advocates,0,0,0,1
Mon Apr 10 15:48:55 +0000 2017,RepDuBois,Michelle DuBois,2,2,Massachusetts,advocates,0,0,0,1
Tue Apr 10 11:42:19 +0000 2018,AndyManar,Andy Manar,10,3,Illinois,advocates,0,0,0,1
Sat Feb 22 00:21:11 +0000 2020,RepCarlaCPiluso,Carla C. Piluso,3,0,Oregon,advocates,0,0,0,1
Thu May 05 18:20:29 +0000 2016,valoupis,Vance Aloupis,0,4,Florida,advocates,0,0,0,1
Mon Apr 02 23:40:45 +0000 2018,SenQuezada29,Sen. Martín Quezada,2,2,Arizona,advocates,0,0,0,1
Wed May 29 19:24:31 +0000 2019,Michael_Cusick,Michael Cusick,7,0,New_York,advocates,0,0,0,1
Wed Jan 01 23:10:35 +0000 2020,MariaChappelleN,MariaChappelleNadal🇵🇷,1,3,Missouri,comes,0,0,0,1
Wed Dec 05 19:46:45 +0000 2018,SenNanOrrock,Nan Orrock,0,0,Georgia,comes,0,0,0,1
Sun Oct 22 05:13:33 +0000 2017,wielechowski,Bill Wielechowski,10,2,Alaska,comes,0,0,0,1
Fri Dec 15 01:22:40 +0000 2017,McCrostie4Idaho,John McCrostie,0,1,Idaho,comes,0,0,0,1
Thu May 30 03:47:46 +0000 2019,ShemiaForOregon,Shemia Fagan for OR Secretary of State,0,591,Oregon,comes,0,0,0,1
Wed Sep 02 17:36:35 +0000 2020,MickeyDollens,Rep. Mickey Dollens,508,86,Oklahoma,comes,0,0,0,1
Tue May 16 13:31:05 +0000 2017,Jo_Comerford,Jo Comerford,0,14277,Massachusetts,comes,0,0,0,1
Fri Apr 14 23:04:46 +0000 2017,cperone7,Rep. Chris Perone,16,9,Connecticut,comes,0,0,0,1
Sat Apr 27 15:13:52 +0000 2019,JenLongdon,Rep. Jennifer Longdon,0,25,Arizona,comes,0,0,0,1
Fri Oct 18 15:15:44 +0000 2019,MPowersNorrell,SC Rep Mandy Powers Norrell,0,3,South_Carolina,comes,0,0,0,1
Tue Jul 28 19:47:24 +0000 2020,SheilaRuth,Sheila Ruth,9,5,Maryland,human,0,0,0,1
Wed Mar 06 07:26:37 +0000 2019,laurafriedman43,Laura Friedman,7,2,California,human,0,0,0,1
Sat Dec 05 00:30:13 +0000 2020,repkatehogan,Kate Hogan,0,42,Massachusetts,human,0,0,0,1
Mon Oct 14 16:22:42 +0000 2019,LontineHD1,Susan Lontine,10,2,Colorado,human,0,0,0,1
Sun Aug 31 12:42:16 +0000 2014,SheriGilligan,Sheri Gilligan,0,8,Georgia,human,0,0,0,1
Sat Feb 03 06:10:10 +0000 2018,Pittman4HD99,Representative Ajay Pittman,0,807,Oklahoma,human,0,0,0,1
Sun Jan 27 14:13:48 +0000 2019,RepDittrich,Rep. Barbara Dittrich,1,0,Wisconsin,human,0,0,0,1
Fri Jan 18 17:36:03 +0000 2019,RepJoeWebster,Rep. Joe Webster,0,0,Pennsylvania,human,0,0,0,1
Mon Nov 11 05:43:48 +0000 2019,dwayne_bohac,Dwayne Bohac,0,0,Texas,human,0,0,0,1
Sat Feb 03 14:31:53 +0000 2018,inhisfields,David Ralston,0,72,Georgia,human,0,0,0,1
Wed May 13 01:37:09 +0000 2020,votewarren,Warren Petersen,0,1,Arizona,say,0,0,0,1
Mon Aug 10 17:01:31 +0000 2020,wardports,Gerald W.R. Ward,0,15504,New_Hampshire,say,0,0,0,1
Wed Sep 16 17:00:45 +0000 2020,ddreyer,David Dreyer,18,3,Georgia,say,0,0,0,1
Thu Mar 29 02:24:56 +0000 2018,shanemassey,Shane Massey,0,0,South_Carolina,say,0,0,0,1
Sun May 01 15:47:24 +0000 2016,SoniaChangDiaz,Sonia Chang-Díaz,3,2,Massachusetts,say,0,0,0,1
Wed Apr 12 16:09:03 +0000 2017,VinceMazzeo,Assemblyman Vince Mazzeo,0,5,New_Jersey,say,0,0,0,1
Wed Apr 18 16:44:49 +0000 2018,FaithWinterCO,Sen. Faith Winter,0,37,Colorado,say,0,0,0,1
Wed Apr 15 17:06:09 +0000 2020,SenatorCarlson,Sen. Jim Carlson,1,0,Minnesota,say,1,1,1,1
Thu Aug 27 03:18:33 +0000 2020,LivingstonLD22,David Livingston,0,1138,Arizona,say,0,0,0,1
